Rasmussen Tracking,2/13 - 2/15,1500 LV,47,43,Obama +4
Democracy Corps (D),2/11 - 2/14,1000 LV,49,45,Obama +4
CNN/Opinion Research,2/10 - 2/13,937 RV,51,46,Obama +5
CBS News/NY Times,2/8 - 2/13,1604 RV,48,42,Obama +6
PPP (D),2/9 - 2/12,1200 RV,49,42,Obama +7
Pew Research,2/8 - 2/12,1172 RV,52,44,Obama +8
FOX News,2/6 - 2/9,1110 RV,47,42,Obama +5
Reuters/Ipsos,2/2 - 2/6,881 RV,48,42,Obama +6
ABC News/Wash Post,2/1 - 2/4,879 RV,51,45,Obama +6
IBD/CSM/TIPP,1/29 - 2/4,852 RV,47,41,Obama +6
Rasmussen Reports,1/31 - 2/2,1500 LV,45,45,Tie
USA Today/Gallup,1/27 - 1/28,907 RV,48,48,Tie
NBC News/Wall St. Jrnl,1/22 - 1/24,RV,49,43,Obama +6
Rasmussen Reports,1/19 - 1/21,1500 LV,46,43,Obama +3
PPP (D),1/13 - 1/16,700 RV,49,44,Obama +5
CBS News/NY Times,1/12 - 1/16,1021 RV,45,45,Tie
ABC News/Wash Post,1/12 - 1/15,RV,46,48,Romney +2
Pew Research,1/11 - 1/16,1207 RV,50,45,Obama +5
FOX News,1/12 - 1/14,906 RV,46,45,Obama +1
CNN/Opinion Research,1/11 - 1/12,928 RV,47,48,Romney +1
Democracy Corps (D),1/8 - 1/11,1000 LV,47,46,Obama +1
Rasmussen Reports,1/9 - 1/10,1000 LV,44,41,Obama +3
Reuters/Ipsos,1/5 - 1/9,896 RV,48,43,Obama +5
CBS News,1/4 - 1/8,1247 RV,45,47,Romney +2
Rasmussen Reports,1/3 - 1/4,1000 LV,42,42,Tie
Rasmussen Reports,12/27 - 12/28,1000 LV,39,45,Romney +6
Rasmussen Reports,12/20 - 12/21,1000 LV,44,41,Obama +3
CNN/Opinion Research,12/16 - 12/18,928 RV,52,45,Obama +7
PPP (D),12/16 - 12/18,700 RV,45,47,Romney +2
ABC News/Wash Post,12/15 - 12/18,RV,47,47,Tie
USA Today/Gallup,12/15 - 12/18,898 RV,50,48,Obama +2
Rasmussen Reports,12/14 - 12/15,1000 LV,42,43,Romney +1
Reuters/Ipsos,12/8 - 12/12,921 RV,48,40,Obama +8
Associated Press/GfK,12/8 - 12/12,1000 A,47,46,Obama +1
NBC News/Wall St. Jrnl,12/7 - 12/11,RV,47,45,Obama +2
Rasmussen Reports,12/8 - 12/9,1000 LV,42,45,Romney +3
USA Today/Gallup,12/6 - 12/7,883 RV,47,46,Obama +1
FOX News,12/5 - 12/7,911 RV,44,42,Obama +2
Rasmussen Reports,11/30 - 12/1,1000 LV,42,40,Obama +2
Rasmussen Reports,11/21 - 11/22,1000 LV,44,38,Obama +6
Quinnipiac,11/14 - 11/20,2552 RV,45,44,Obama +1
FOX News,11/13 - 11/15,914 RV,42,44,Romney +2
CNN/Opinion Research,11/11 - 11/13,925 RV,47,51,Romney +4
Pew Research,11/9 - 11/14,1576 RV,49,47,Obama +2
PPP (D),11/10 - 11/13,800 RV,46,43,Obama +3
Rasmussen Reports,11/9 - 11/10,1000 LV,43,42,Obama +1
McClatchy/Marist,11/8 - 11/10,872 RV,48,44,Obama +4
Politico/GWU/Battleground,11/6 - 11/9,1000 LV,49,43,Obama +6
NBC News/Wall St. Jrnl,11/2 - 11/5,RV,49,43,Obama +6
ABC News/Wash Post,10/31 - 11/3,RV,46,47,Romney +1
Reuters/Ipsos,10/31 - 11/3,937 RV,43,44,Romney +1
Rasmussen Reports,11/1 - 11/2,1000 LV,42,41,Obama +1
Quinnipiac,10/25 - 10/31,2294 RV,47,42,Obama +5
USA Today/Gallup,10/26 - 10/27,908 RV,47,47,Tie
Rasmussen Reports,10/24 - 10/25,1000 LV,42,44,Romney +2
Democracy Corps (D),10/15 - 10/18,1000 LV,45,45,Tie
Rasmussen Reports,10/16 - 10/17,1000 LV,43,42,Obama +1
Associated Press/GfK,10/13 - 10/17,1000 A,48,45,Obama +3
Time,10/9 - 10/10,838 LV,48,44,Obama +4
PPP (D),10/7 - 10/10,700 RV,45,45,Tie
NBC News/Wall St. Jrnl,10/6 - 10/10,RV,46,44,Obama +2
Rasmussen Reports,10/8 - 10/9,1000 LV,43,41,Obama +2
Quinnipiac,9/27 - 10/3,2118 RV,42,46,Romney +4
ABC News/Wash Post,9/29 - 10/2,RV,46,48,Romney +2
Pew Research,9/22 - 10/4,1901 RV,48,48,Tie
Rasmussen Reports,9/28 - 9/29,1000 LV,42,44,Romney +2
FOX News,9/25 - 9/27,925 RV,45,42,Obama +3
CNN/Opinion Research,9/23 - 9/25,917 RV,49,48,Obama +1
Rasmussen Reports,9/18 - 9/19,1000 LV,44,41,Obama +3
USA Today/Gallup,9/15 - 9/18,889 RV,47,49,Romney +2
McClatchy/Marist,9/13 - 9/14,825 RV,46,44,Obama +2
Bloomberg,9/9 - 9/12,997 A,48,43,Obama +5
Reuters/Ipsos,9/8 - 9/12,932 RV,49,43,Obama +6
Rasmussen Reports,9/10 - 9/11,1000 LV,40,43,Romney +3
PPP (D),9/8 - 9/11,665 RV,49,45,Obama +4
ABC News/Wash Post,8/29 - 9/1,RV,45,49,Romney +4
NBC News/Wall St. Jrnl,8/27 - 8/31,RV,46,45,Obama +1
Rasmussen Reports,8/25 - 8/26,1000 LV,43,39,Obama +4
Quinnipiac,8/16 - 8/27,2730 RV,45,45,Tie
PPP (D),8/18 - 8/21,700 RV,45,45,Tie
Rasmussen Reports,8/17 - 8/21,1000 LV,46,38,Obama +8
Gallup,8/17 - 8/18,879 RV,46,48,Romney +2
Democracy Corps (D),8/6 - 8/10,1000 LV,48,46,Obama +2
CNN/Opinion Research,8/5 - 8/7,930 RV,49,48,Obama +1
McClatchy/Marist,8/2 - 8/4,807 RV,46,41,Obama +5
FOX News,7/17 - 7/19,904 RV,47,41,Obama +6
ABC News/Wash Post,7/14 - 7/17,RV,49,47,Obama +2
NBC News/Wall St. Jrnl,7/14 - 7/17,RV,48,41,Obama +7
PPP (D),7/15 - 7/17,928 RV,45,45,Tie
Rasmussen Reports,7/14 - 7/15,1000 LV,42,43,Romney +1
Quinnipiac,7/5 - 7/11,2311 RV,47,41,Obama +6
McClatchy/Marist,6/15 - 6/23,390 RV,46,42,Obama +4
Democracy Corps (D),6/18 - 6/21,1000 RV,47,45,Obama +2
NBC News/Wall St. Jrnl,6/9 - 6/13,RV,49,43,Obama +6
PPP (D),6/9 - 6/12,520 RV,47,45,Obama +2
FOX News,6/5 - 6/7,912 RV,48,41,Obama +7
Reuters/Ipsos,6/3 - 6/6,1132 A,51,38,Obama +13
ABC News/Wash Post,6/2 - 6/5,RV,46,49,Romney +3
Quinnipiac,5/31 - 6/6,1946 RV,47,41,Obama +6
PPP (D),5/23 - 5/25,600 RV,49,42,Obama +7
Democracy Corps (D),5/21 - 5/25,1000 LV,48,44,Obama +4
Politico/GWU/Battleground,5/8 - 5/12,1000 LV,52,40,Obama +12
Reuters/Ipsos,5/5 - 5/9,600 A,51,38,Obama +13
PPP (D),5/5 - 5/8,814 RV,47,42,Obama +5
Newsweek/Daily Beast,5/2 - 5/3,600 A,42,36,Obama +6
Newsweek/Daily Beast,4/30 - 5/1,600 A,44,44,Tie
CNN/Opinion Research,4/29 - 5/1,964 RV,54,43,Obama +11
ABC News/Wash Post,4/14 - 4/17,1001 A,49,45,Obama +4
McClatchy/Marist,4/10 - 4/14,532 RV,46,45,Obama +1
Democracy Corps (D),4/10 - 4/12,1000 LV,46,48,Romney +2
PPP (D),4/7 - 4/10,532 RV,47,41,Obama +6
PPP (D),3/10 - 3/13,642 RV,47,42,Obama +5
Rasmussen Reports,3/6 - 3/9,2000 LV,45,40,Obama +5
NBC News/Wall St. Jrnl,2/24 - 2/28,RV,49,40,Obama +9
Newsweek/Daily Beast,2/12 - 2/15,918 LV,49,47,Obama +2
PPP (D),2/11 - 2/14,600 RV,46,41,Obama +5
FOX News,2/7 - 2/9,911 RV,48,41,Obama +7
PPP (D),1/14 - 1/16,632 RV,48,43,Obama +5
Democracy Corps (D),1/9 - 1/12,1000 LV,48,46,Obama +2
McClatchy/Marist,1/6 - 1/10,827 RV,51,38,Obama +13
Rasmussen Reports,1/3 - 1/6,2000 LV,42,44,Romney +2
NBC News/Wall St. Jrnl,12/9 - 12/13,1000 A,47,40,Obama +7
McClatchy/Marist,12/2 - 12/8,873 RV,44,46,Romney +2
PPP (D),11/19 - 11/21,707 RV,47,46,Obama +1
Quinnipiac,11/8 - 11/15,2424 RV,44,45,Romney +1
CNN/Opinion Research,10/27 - 10/30,921 RV,45,50,Romney +5
FOX News,9/28 - 9/29,900 RV,41,40,Obama +1
PPP (D),9/10 - 9/13,590 RV,46,43,Obama +3
PPP (D),8/6 - 8/9,606 RV,45,42,Obama +3
PPP (D),7/9 - 7/12,667 RV,43,46,Romney +3
PPP (D),6/4 - 6/7,650 RV,45,42,Obama +3
PPP (D),5/7 - 5/9,707 RV,46,44,Obama +2
PPP (D),4/9 - 4/11,622 RV,44,45,Romney +1
CNN/Opinion Research,4/9 - 4/11,907 RV,53,45,Obama +8
PPP (D),3/12 - 3/14,1403 RV,44,44,Tie
PPP (D),2/13 - 2/15,743 RV,45,43,Obama +2
PPP (D),1/18 - 1/19,1151 RV,44,42,Obama +2
FOX News,1/12 - 1/14,900 RV,47,35,Obama +12
PPP (D),12/4 - 12/7,1253 RV,47,42,Obama +5
Rasmussen Reports,11/24 - 11/24,800 LV,44,44,Tie
PPP (D),11/13 - 11/15,1066 RV,48,43,Obama +5
PPP (D),10/16 - 10/19,766 RV,48,40,Obama +8
PPP (D),9/18 - 9/21,621 RV,48,39,Obama +9
PPP (D),8/14 - 8/17,909 RV,47,40,Obama +7
Rasmussen Reports,7/16 - 7/17,1000 LV,45,45,Tie
PPP (D),7/15 - 7/16,577 RV,49,40,Obama +9
PPP (D),6/12 - 6/16,638 RV,48,40,Obama +8
PPP (D),5/14 - 5/18,1000 RV,53,35,Obama +18
PPP (D),4/17 - 4/19,686 RV,50,39,Obama +11
